Periodo,Area,Subarea,Antiguedad,eNPS_Score,Motivation_Score,Manager_NPS,Liderazgo_Texto,Mejoras_Texto,Mejoras_Categoria,Valoras_Texto,Valoras_Categoria,Salario_Satisfecho,Lider_Claro_Objetivos,Lider_Comunica_Prioridades,Lider_Da_Feedback,Lider_Incentiva_Colaboracion,Lider_Da_Herramientas,Lider_Referente_Cultura
Q1 2025,Tech,External,Más de 1 año,7,10,10,"Alex cuenta con una comunicación asertiva que ayuda a resolver problemas. Tiene la capacidad de priorizar tareas, entendiendo las necesidades y prioridades del negocio.

También da feedback a tiempo y se le nota un esfuerzo y preocupación sinceros por nuestro crecimiento profesional.","- Esto ya está en proceso de construcción, pero se necesita un proceso o método que permita medir de manera cuantitativa y cualitativa el avance que tenemos, con el fin de contar con herramientas para solicitar aumentos, ascensos o simplemente identificar qué me hace falta para trabajar, crecer y aportar más valor a la empresa

- medicina prepagada.",Beneficios y Salario,"Los compañeros que me rodean son excelentes, el salario es competitivo, y los retos son emocionantes profesionalmente. Además, la posibilidad de cambiar el sector de la energía y trabajar en una startup de verdad, con todo el estrés y esfuerzo que supone, me mantiene constantemente motivado. A eso se suma que líderes como Sebas Ruales generan confianza, ya que antes han logrado el éxito en sus puestos anteriores.",Equipo y Cultura,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,UX,Concierge,6 meses a 1 año,8,8,8,"Conoce mucho del producto y tiene grandes habilidades de liderazgo. Sin embargo, la sobrecarga de trabajo no le permite enfocarse en la comunicación con el equipo y los planes de mejora.","Fondo de empleados, convenios con universidades y mejor remuneración.",Beneficios y Salario,"Considero que no existen oportunidad claras de crecimiento, no hay un programa de ascensos, siempre se busca personal externo para posiciones de liderazgo y no hay procesos formativos enfocados en el desarrollo de habilidades que permitan mejorar el performance del los trabajadores",Crecimiento y Aprendizaje,No.,Parcialmente.,Si.,Parcialmente.,No.,No.,Si.
Q1 2025,OPS,FieldOps,Más de 2 años,8,8,7,Muy poco tiempo en el rol para una evaluación objetiva y soportada en resultados.,Vital entender si los planes carrera están dentro de las posibilidades de desarrollo,Plan de Carrera y Capacitación,Siempre es importante ser transparente y honesto con tú equipo para que las expectativas frente a los nuevos retos y el aporte que cada uno pueda llegar a dar sean muy claros. Este factor sigue en ocasiones en un hermetismo que no contagia positivamente y dificulta mantener arriba la motivación de cada uno de los roles que aportan dentro del engranaje.,Crecimiento y Aprendizaje,Si.,Parcialmente.,Si.,Parcialmente.,Si.,Parcialmente.,Si.
Q1 2025,Producto,SD&R,Más de 2 años,9,9,9,"El gran reto de la compañía es direccionar a los equipos con ULTRA FOCO para generar valor dónde lo necesitamos. Al producto ser transversal entonces el problema se intensifica porque son varias áreas exigiendo un listado de soluciones sin una discriminación sobre su prioridad o impacto en la estrategia de la compañía. Pipe y el equipo de producto está construyendo las bases para cada vez ser más eficientes en nuestras priorizaciones. Entre más estemos alineados con la estrategia y existan objetivos hyper claros va a ser más fácil esta tarea.

Estructurar esto mientras debemos seguir operando ha sido un reto significativo para Pipe dado que tiene MUCHOS frentes.",Creo que deberíamos crear una estructura donde podamos construir a largo plazo y también en la inmediatez. Donde parte de la compañía se dedique a establecer las bases que nos permiten crecer con estructura y otra mueva la aguja en función de las metas agresivas.,Sin comentarios,"Creo que hay ciertas características relacionadas al momento de crecimiento en el que se encuentra Bia donde nos enfrentamos a alta incertidumbre y no saber cómo podemos generar valor. Desde finales de diciembre tenemos un foco claro como compañía lo que hace que sintamos que nuestro trabajo y esfuerzo está direccionado en algo que verdaderamente mueve la aguja. En momentos anteriores nos quedamos muchas veces estancados porque no tenemos las herramientas para saber cómo priorizar en función de la estrategia, y al producto ser tan transversal recibimos saturación de solicitudes. Hoy creo que tenemos claro este dolor y estamos construyendo en pro de esto.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Company- Staff,,Más de 2 años,9,8,10,"Mi lider siempre busca maneras de reconocer el trabajo, lo que promueve la motivación. Siempre busca espacios en conjunto con el equipo para alinear expectativas y prioridades.  ","Teniendo un plan de crecimiento claro para cada rolo en el que se planteen unos objetivos claros para crecer dentro de la compañía. Seguir creando espacio que fortalecen la cultura como los offsites, halloween, etc.",Plan de Carrera y Capacitación,"Me gustaría sentirme más retada en mi rol, pero en general tengo muy buena motivación debido a mi lider, mis responsabilidades y la posibilidad de impacto y crecimiento que tengo dentro de la empresa. ",Crecimiento y Aprendizaje,Si.,Parcialmente.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Marketing,Partnerships,6 meses a 1 año,8,8,9,"Santiago es un lider que potencia las habilidades, y permite mostrar los logros de cada persona en el área, se esfuerza por entender los problemas y dar una solución ",. ,Sin comentarios,"Es un gran ambiente para el aprendizaje, crecimiento y nuevos retos",Crecimiento y Aprendizaje,Parcialmente.,Si.,Si.,Si.,Si.,Parcialmente.,Si.
Q1 2025,Tech,Internal,6 meses a 1 año,5,7,7,puede mejorarse ,teniendo espacios donde poder dar ideas y ver como evolucionna,Sin comentarios,existe duda de cual la vision,Sin comentarios,Parcialmente.,Parcialmente.,Si.,Parcialmente.,No.,Parcialmente.,Parcialmente.
Q1 2025,Tech,External,Más de 1 año,8,8,8,"En lo que respecta a la gestión, es una persona proactiva que busca abarcar múltiples responsabilidades. Sin embargo, esta tendencia a asumir demasiadas tareas a veces le impide responder de manera óptima a todas ellas.

Sería beneficioso que se enfocara más en el management y delegara algunas de sus labores a su equipo. De esta forma, considero que podría lograr una gestión más efectiva.

En cuanto a la motivación y el desarrollo del equipo, demuestra un enfoque muy positivo. Se toma el tiempo necesario para proporcionar retroalimentación, y muestra un genuino interés en el crecimiento profesional y la progresión laboral de sus colaboradores.","Aún persisten muchas dudas sobre la estabilidad laboral dentro de BIA. Se percibe incertidumbre respecto a las oportunidades de desarrollo profesional y la posibilidad de construir una carrera dentro de la Compañía. 

Por ello, es fundamental seguir trabajando para reducir esa sensación de inseguridad y fortalecer la confianza de los colaboradores. Es clave reafirmar que forman parte de una empresa sólida, comprometida con la calidad y el bienestar de su equipo, que no solo ofrece oportunidades de crecimiento, sino también estabilidad, un ambiente laboral positivo y tranquilidad para su desarrollo profesional y personal.",Beneficios y Salario,-,Sin comentarios,Parcialmente.,Parcialmente.,Si.,Si.,Si.,Parcialmente.,Si.
Q1 2025,UX,Concierge,6 meses a 1 año,8,7,7,"Falta acompañamiento por parte del líder. Se asignan actividades sin proporcionar las herramientas o la capacitación necesaria. Además, es un líder ausente que delega funciones con alta prioridad, pero cuando se solicita su apoyo, la respuesta es lenta, además En algunas ocasiones, sus comentarios pueden percibirse como poco constructivos que lastiman la autoestima.","Fortalecer el liderazgo, fomentar oportunidades de crecimiento dentro de la compañía a través de procesos internos y valorar el trabajo de los demás sin minimizar sus opiniones",Plan de Carrera y Capacitación,"Falta de crecimiento profesional: La empresa suele buscar talento externamente sin evaluar primero si algún miembro del equipo cumple con el perfil para la vacante. Es fundamental priorizar una convocatoria interna y, solo en caso de no encontrar un candidato adecuado, abrir la búsqueda externamente.
",Crecimiento y Aprendizaje,Parcialmente.,Parcialmente.,Si.,Si.,No.,No.,No.
Q1 2025,Tech,External,Más de 1 año,8,8,10,"Me ha gustado mucho la gestión de Alex como líder del equipo, se le notan las ganas de que cada uno crezca desde donde esta y da feedback oportuno y parcial.","Mejores condiciones laborales, salario emocional",Beneficios y Salario,"Me siento bien en Bia, sin embargo tengo la sensación de que crecer en el area de tecnologia dentro de la compañia es muy dificil lo cual desmotiva un poco",General / Otros,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Energy,,Más de 2 años,9,9,10,"Su forma de dirigir el equipo es clara y organizada, fomentando un ambiente de trabajo de confianza, positivo y colaborativo. Nos impulsa a dar lo mejor de nosotros, brindando apoyo, reconocimiento y oportunidades de crecimiento. Además, su liderazgo fortalece el trabajo en equipo dentro del área, asegurando que todos estemos alineados y comprometidos con los objetivos que debemos alcanzar dentro del equipo y en Bia.","Creo que podríamos mejorar la experiencia del colaborador incorporando más formas de reconocimiento aparte de la remuneración, como experiencias que refuercen el sentido de pertenencia y motivación. También sería bueno tener actividades extralaborales que nos ayuden a relajarnos y fortalecer el compañerismo. Continuar fomentando comunicaciones positivas, evitando comentarios que puedan generar un ambiente tóxico; esto con ara de mantener la motivación y el bienestar de los trabajadores",Beneficios y Salario,"Me siento muy motivado en Bia porque disfruto lo que hago, siento que hay oportunidades para aprender, crecer y aportar ideas, lo que me impulsa a dar lo mejor de mí y a continuar retándome. Siempre hay áreas en las que se puede mejorar, pero en general, estoy muy comprometido y con ganas de seguir avanzando",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Producto,SD&R,4 meses a 6 meses,6,5,9,"Mi líder prioriza proyectos frente a las decisiones estratégicas que tiene negocio y las aterriza a nuestra área en la brevedad posible sin embargo, la visión no es clara desde negocio por lo tanto la durabilidad o sostenibilidad de los proyectos asignados se ve comprometida. Así mismo el área aún no tiene metodologías implementadas que permita actuar rápidamente a través de casos de éxito que optimicen los tiempos de ejecución.",Estrategias claras.,Cultura y Liderazgo,La orientación difusa no me permite proyectarme en Bia como profesional en diseño de servicios y genera frustración al no poder culminar mis proyectos por cambios de la priorización cada 15 días o falta de trayectoria clara.,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Parcialmente.,Parcialmente.,Si.
Q1 2025,OPS,FieldOps,6 meses a 1 año,10,9,10,he contado con la suerte de tener varios líderes de impacto en mis roles.,Reforzando actividades que promuevan el bienestar del equipo.,Bienestar y Balance,"Amo trabajar en esta empresa, amo mi equipo y la gente, pero siento que la remuneración no es acorde a las responsabilidades que se tienen. Operaciones es un área demasiado demandante en tiempo y energía, donde solamente no se trabaja de lunes a viernes, sino que hay que tener una disponibilidad casi que completa. Por ende siempre debemos estar pendientes del celular. Realmente no tengo problema con hacerlo, amo estar aquí y lo más importante es que todo salga bien. Pero siento que la remuneración es muy baja y a veces eso desmotiva un poco.",Equipo y Cultura,No.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Producto,Design,Más de 1 año,5,6,7,"Considero que tiene un conocimiento profundo en bastantes áreas del conocimiento a nivel de producto, pero siento que el tiempo con el es limitado la mayor parte del tiempo y el feedback de los proyecto es intermitente y a veces fuera de los tiempos de entrega.",Creo que el trato y la cultura en general a decaído. Siento que hay que mejorar el trato a las personas cuando hay que dar directrices complejas por el motivo que sea para incrementar la retención del talento en general.,Sin comentarios,"Siento cierta incertidumbre acerca del futuro de la empresa, por las constantes reesrtructuraciones organizacionales y de la nómina, incluyendo la percepción de las nuevas contrataciones que quizás no alcanzan más de los 6 meses en quedarse y contribuir.",Impacto y Propósito,Si.,Parcialmente.,Parcialmente.,Si.,Parcialmente.,Parcialmente.,Si.
Q1 2025,Producto,Design,Más de 1 año,9,10,10,"Lo recomendaría 100%. Es una de las personas con mayor conocimiento de producto que he conocido, es una persona llena de ideas y soluciones y que siempre está dispuesto a compartir todo esto con su equipo y con todos en general.",La cosas que escribí en la encuesta anterior ya las han implementado. ,General / Otros,"Me motiva trabajar en un entorno de alto crecimiento y gran potencial, y que esto permita innovar y generar un impacto positivo en la vida de los usuarios. Ademas del crecimiento profesional que esto conlleva. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Sales,,Más de 2 años,9,9,10,"Es una excelente líder, que siempre está escuchando a su equipo y que busca la manera de apoyarnos en todo. ",Plan de crecimiento,Plan de Carrera y Capacitación,"Siempre estoy en busqueda de crecimiento dentro de Bia, y hasta ahora se me está dando la oportunidad. ",Crecimiento y Aprendizaje,Parcialmente.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,UX,Concierge,Más de 1 año,10,10,10,"Mi líder inspira, enseña y nos da las herramientas necesarias para desempeñar nuestro rol, valora el esfuerzo, reconoce los resultados y a su vez es capaz de exigir de dar feedback asertivo cuando es necesario.","Me gustaría tener beneficios para créditos hipotecarios o de estudio, convenios para plan complementario de salud, gimnasio o planes vacacionales. ",Plan de Carrera y Capacitación,Es un reto y desafío que me impulsa a un aprendizaje constante generando valor a mi desempeño laboral,Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,UX,Concierge,Más de 2 años,10,10,10,Es una líder humana y que sabe llevarlo a lograr los objetivos,Convenios con cooperativas - GYM todo lo que se pueda usar para el beneficio y el bienestar del empleado.,Beneficios y Salario,Es una muy buena empresa.,Impacto y Propósito,Si.,Si.,Parcialmente.,Si.,Si.,Si.,Si.
Q1 2025,OPS,FieldOps,Más de 1 año,9,4,7,"Puedo asegurar que mis lideres son unos profesionales muy exitosos y tienen la visión de crecimiento para la compañía, sus equipos y para ellos, y así como se han acercado a recibir un feedback de mí parte puedo decir que también es necesario que ellos no lo den cuando lo consideren; ahora bien como lo indicaron en algún momento, ser el líder que no tiene cargo, es algo que me aplica 100% y lo he venido aplicando durante este tiempo en la organización; sí se ve así no solo para ellos sino a nivel de toda la organización, ¿por qué no brindar la alternativa para llegar a materializarlo?. En su momento fue levantada está proyección de crecimiento y de alineación de prioridades pues tuve nuevas responsabilidades sin dejar las anteriores, aunque las cosas no cambiaron y no se interesaron por ver mejoras al proceso; se ha mantenido la continuidad del proceso. Reitero al ser la única persona y luego de incentivar la mejora, lastimosamente desde los líderes no se le da la importancia que se requiere y los recursos que ameritan para el desarrollo y claramente generar una mayor productividad y blindaje legal que para esta área se debe tener.","Los espacios de desconexión laboral son vitales y es algo pequeño en el día a día. Es algo que para los colaboradores llega a ser de gran importancia y genera salud mental; que hoy son más frecuente casos de enfermedades mentales por este tipo, parte de no tener tranquilidad de saber que se carece de total respaldo desde la organización. La empresa tiene y logra cosas increíbles, muchas veces menos es más y las cosas más sencillas pueden llegar a generar más valor.",Bienestar y Balance,"Es increíble ver los cambios positivos que se han generado en la organización y que te vean como un punto de referencia y liderazgo para lo que se ha desarrollo en el proceso y me encanta atender los retos, solucionar problemas y motivación de llegar a laborar en una increíble empresa. Sin embargo, comparado con el mercado y con datos reales, no se ha dado toda la importancia que amerita el rol desde la parte estratégica y en este caso la parte económica, existen tablas de rangos ya definidos para este mercado y fueron presentados. Luego de haber acordado con mis líderes, unos apoyos para el proceso, herramientas y ajuste salarial, no se ha materializado ninguno y con argumentos puedo decir que estoy con capacidades limitadas para responder a todos los frentes siendo la única persona que maneja el proceso. Sin embargo, mantengo mi responsabilidad y todo el esfuerzo, pues es mi deber en dar cobertura a toda la organización; a todo siempre he dicho ""sí"" pero no siempre podrá ser de esta manera cuando por temas de otras urgencias no pueda atender las demás. Mí interés y preocupación será siempre dar apoyo, por eso mí intención de que sea tomada en cuenta está opinión. ",Crecimiento y Aprendizaje,No.,Si.,Parcialmente.,Parcialmente.,Si.,No.,Parcialmente.
Q1 2025,UX,VP,Más de 2 años,10,10,10,Genera espacios para poder asegurar el norte estrategico de la compañia,Generando mas espacio de formación y desarrollo de habilidades para fortalecer el crecimiento de las personas,Plan de Carrera y Capacitación,"Amo lo que hago, estoy segura que podremos llevar el servicio a otro nivel para seguir pensando en el cliente",Impacto y Propósito,Si.,Si.,Parcialmente.,Parcialmente.,Si.,Si.,Si.
Q1 2025,UX,Service,Más de 1 año,9,9,9,Más comunicación en equipo.,Con más acompañamiento constante a todas las áreas de acuerdo a las metas y propósitos que se indican.,Cultura y Liderazgo,Bien,General / Otros,Parcialmente.,Si.,Si.,Parcialmente.,Si.,Parcialmente.,Si.
Q1 2025,Legal,,6 meses a 1 año,10,10,10,"Le doy un 10 porque su liderazgo se nota en la forma en que gestiona el equipo, motiva y crea oportunidades de desarrollo. Siempre está ahí para apoyar y empujar a que demos lo mejor","Seguir fortaleciendo la comunicación y el reconocimiento dentro del equipo haría una gran diferencia. A veces, espacios para compartir ideas, alinearnos en ciertos procesos importantes, podría ayudar a agilizar procesos y a que el trabajo fluya mejor y sea menos desgastante. En general, el ambiente es bueno, pero siempre hay espacio para seguir creciendo.",Sin comentarios,"Me gusta trabajar en bia porque siempre hay retos interesantes y oportunidades para aprender. Me motiva poder aportar desde lo legal a proyectos que realmente tienen impacto, y el ambiente de trabajo hace que el día a día sea dinámico. Obviamente, como en cualquier lugar, hay cosas por mejorar, pero en general, disfruto ser parte del equipo y seguir creciendo aquí",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Legal,,Más de 1 año,10,10,10,"Me siento respaldada por mi líder, no únicamente en habilidades técnicas sino porque día a día se preocupa por enseñarnos comunicación asertiva, inteligencia emocional y liderazgo",Sería ideal contar con beneficios extrasalariales necesarios para el bienestar de los trabajadores como lo sería la medicina prepagada,Beneficios y Salario,Me siento muy motivada por el ambiente laboral y cómo todos estamos encaminados en el mismo objetivo,Equipo y Cultura,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,Legal,,Más de 1 año,10,7,10,"Mi lider es de los mejores profesionales del sector jurídico, con visión de negocio + manejo de equipo. Con ella he podido mejorar mi potencial como persona y como profesional.","Planes de carrera, medicina, beneficios extrasalariales etc...",Plan de Carrera y Capacitación,"Me siento motivado y en constante aprendizaje, tengo desafíos muy interesantes, tengo apoyo de mis lideres y mis pares.",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
Q1 2025,UX,"Experience (Entrenamiento, Calidad)",Más de 2 años,9,9,10,"Tengo gran admiración por ellas, son demasiado buena, me encanta aprender de ellas sus metodologías y capacidad de solucionar todo, como se proponen no dejarse llevar por el caos y resolver desde la premisa de hacerlo más fácil y simple. Siempre me acompañan en los procesos que debo ejecutar y me brindan sugerencias para comunicar mejor las ideas y resultados. ¡De verdad muchas gracias!!","Creo que people debería tener una ruta de arranque de ingreso específico para cada área, el onboarding que se tiene esta bien pero ya esta  desactualizado. Para el caso de UX, los chicos o personal nuevo ha llegado a capacitación sin PC, diadema y mouse y esto es vital para el proceso de entrenamiento. ",Plan de Carrera y Capacitación,"Es una empresa en crecimiento y eso me ha permitido crecer como persona y profesional, el equipo de trabajo me encanta y con mis Líderes siento que aprendo demasiado, definitivamente mi performance ha mejorado mucho gracias a ellos y los retos que Bia me pone en el camino. ",Crecimiento y Aprendizaje,Si.,Si.,Si.,Si.,Si.,Si.,Si.
