Periodo;Area;Subarea;Antiguedad;Valores_Respuesta;Valor_Identificado
Q1 2026;UX;CX;0 a 3 meses;"Obsesión por el Cliente (Customer Obsession)-Me identifico profundamente con el valor de Customer Obsession (Obsesión por el Cliente), integrándolo de manera transversal con la Transparencia Radical y el Cero Conformismo. Mi gestión diaria no se limita a la ejecución de tareas técnicas, sino que se enfoca en humanizar la tecnología de la compañía a través de las siguientes acciones:

Cero Conformismo en la Comunicación: En cada interacción (como los casos de Paula, Jhordy o Catalina), rechazo la comunicación estandarizada y fría. Mi objetivo es transformar un proceso técnico en una experiencia de usuario positiva, asegurándome de que el cliente se sienta escuchado y valorado mediante un lenguaje empático, profesional y cercano.

Transparencia Radical mediante el Análisis Detallado: Aplico este valor al descomponer conceptos complejos —como las variaciones de consumo en kWh y cargos de terceros— para explicarlos de forma sencilla y didáctica. Mi prioridad es que el cliente comprenda el origen de cada cobro, eliminando la incertidumbre y fortaleciendo el vínculo de confianza con Bia.

Propiedad y ""Ownership"" (Ir un paso más allá): Mi compromiso con el éxito del cliente trasciende los horarios habituales. La disposición para gestionar requerimientos críticos, como códigos de seguridad o seguimientos de falla en días festivos y jornadas extendidas, demuestra que asumo la responsabilidad total sobre la continuidad del servicio de nuestros usuarios.";User Centric
Q1 2026;UX;Service;6 meses a 1 año;Customer Center - En mi labor diaria es lo más importante para alcanzar las metas de servicio. Ante todo, el sentimiento del cliente en Bia debe ser positivo y las interacciones que se tienen con ellos son claves para alcanzar nuestros objetivos. ;User Centric
Q1 2026;Sales;Sales;Más de 3 años;User Centric;User Centric
Q1 2026;Finanzas;VP;Más de 3 años;Problem Seeker / Problem Solver;Problem Solver & Problem Seeker
Q1 2026;UX;CX;2 años a 3 años;Enfoque en el Cliente (Obsesión por el usuario);User Centric
Q1 2026;UX;Service;2 años a 3 años;Team player, porque siento que un equipo unido y que trabaja bien puede lograr grandes cosas y mejoras para el area, y que entre todos se puede alcanzar  un objetivo mayor;A Team Player
Q1 2026;Producto;Product Management;2 años a 3 años;team player;A Team Player
Q1 2026;Operaciones;Admin;2 años a 3 años;"Problem Solver & Problem Seeker, Adaptability

Porque en Bia he pasado por roles muy distintos. técnico, desarrollo de app, soporte de supply, apertura de una localía en cartagena, y ahora planeación y en cada uno he tenido que reinventarme rápido. No espero a que me asignen los problemas: los identifico, los analizo y busco la solución. Hoy automatizo procesos que antes hacía a mano, y eso solo fue posible porque aprendí a adaptarme y a no quedarme quieto cuando algo se puede mejorar.";Adaptability
Q1 2026;AI, Automation & Data;Data;2 años a 3 años;A Team Player;A Team Player
Q1 2026;Sales;Training;0 a 3 meses;Self Management, por que actúo con pasión y compromiso, liderando mi propio camino hacia el éxito. Gracias a mi capacidad de autogestión, transformo metas personales en hitos para la empresa, siendo plenamente consciente de que cada una de mis decisiones es una pieza clave para el logro de los objetivos globales.;Self Management
Q1 2026;Operaciones;Supply Chain;2 años a 3 años;Adaptabilidad: Es el valor con el que más me identifico, porque en el día a día nos enfrentamos constantemente a situaciones cambiantes que nos exigen ser flexibles y ajustar rápidamente nuestra forma de trabajar. Para mí, adaptarme no solo implica aceptar nuevos procesos o condiciones, sino mantener el rendimiento, el enfoque y la calidad incluso en contextos de incertidumbre o ante cambios inesperados. Creo que esta capacidad es clave para enfrentar distintos desafíos, asumir nuevas responsabilidades y seguir cumpliendo e incluso superando las expectativas.;Adaptability
Q1 2026;Operaciones;Supply Chain;0 a 3 meses;respeto, por que las personas son solidarias y siempre estan dispuestas ayudar.;Otro / No especificado
Q1 2026;UX;Concierge;1 año a 2 años;Self Management: Durante el tiempo que ha transcurrido en Bia, he logrado trabajar en alinearme con este valor, trabajando día a día para ser más autónoma en mis actividades diarias con el apoyo de la IA y demás herramientas proporcionadas por el equipo.  ;Self Management
Q1 2026;UX;Concierge;Más de 3 años;"Con todos siento que UX tiene un acercamiento importante, primordialmnte con el User Centric ya que es mi top, pues yo lo vivo, lo respiro y voy a muerte por mis clientes, sin embargo para lograr una cultura User Centric con mi equipo he tenido mas acción con: Team Player: Mi enfoque no es solo dirigir, sino integrar. Fomento un entorno colaborativo donde el éxito del equipo es la prioridad, asegurando que cada integrante tenga el apoyo necesario para convertir los desafíos individuales en victorias colectivas.

Adaptability : El entorno de servicio es dinámico y constante. Me identifico con la agilidad para aprender de cada nuevo reto, transformando la incertidumbre en una oportunidad para evolucionar procesos y mentalidades frente a las demandas cambiantes del mercado.

Self-Management: Mi gestión va más allá de la administración de recursos; es una labor de arquitectura de soluciones. No solo superviso la experiencia actual, sino que diseño proactivamente mejores rutas y respuestas para garantizar que el cliente siempre reciba nuestra mejor versión.";User Centric
Q1 2026;UX;Concierge;6 meses a 1 año;"User Centric:
Me enfoco en brindar la mejor experiencia posible a mis clientes, siempre poniéndome en su lugar y pensando en cómo me gustaría ser atendido. Actúo con empatía frente a sus necesidades y situaciones, buscando ofrecer soluciones claras, oportunas y generar tranquilidad en el menor tiempo posible.";User Centric
Q1 2026;UX;Concierge;1 año a 2 años;Me siento más identificada con el valor de adaptability, porque en mi día a día es clave poder ajustarme a los cambios, ya sea en procesos, requerimientos de clientes o situaciones inesperadas. Considero que la capacidad de adaptarme rápidamente me permite encontrar soluciones de forma ágil, mantener una buena actitud frente a los retos y seguir aportando valor incluso en escenarios cambiantes.;Adaptability
Q1 2026;UX;Retención;2 años a 3 años;"User centric, porque siempre estoy pensando en el usuario como prioridad, me centro en el y busco soluciones que lo puedan beneficiar siempre. 
Adaptability, ya que me se adaptar fácilmente al cambio constante que hay en la compañía. ";User Centric
Q1 2026;UX;Concierge;4 meses a 6 meses;A Team Player, porque como lo dice este valor, es el crecimiento en conjunto, continuo y sin desmeritar el trabajo del resto del equipo, impulsando cada vez más estrategias grupales que favorecen tanto al colaborador como a la compañia.;A Team Player
Q1 2026;UX;CX;4 meses a 6 meses;"Adaptability: 
Me siento identificada con este valor porque en Bia me han dado la oportunidad de aprender muchas cosas nuevas con herramientas que no conocía, en las que he tenido el reto de adaptarme a ellas, siguiendo nuevos ritmos y métodos de trabajo.";Adaptability
Q1 2026;UX;CX;2 años a 3 años;Self Managment: Un buen trabajo individual crea equipos de alto rendimiento;Self Management
Q1 2026;Finanzas;Tesorería y Facturación;0 a 3 meses;Adaptability;Adaptability
Q1 2026;Finanzas;Tesorería y Facturación;6 meses a 1 año;Problem Solver: Me identifico con este valor ya que tiendo a abordar los problemas con un enfoque estructurado, priorizando soluciones que generen impacto y valor para el equipo y la organización;Problem Solver & Problem Seeker
Q1 2026;Finanzas;Tesorería y Facturación;2 años a 3 años;Team Player, mi día a día involucra mucho la comunicación con distintas áreas, lo que me permite seguir desarrollando estrategias para apalancar resultados y cumplimiento de objetivos, mancomunados con otros actores dentro de la organización.  ;A Team Player
Q1 2026;Growth;Brand;2 años a 3 años;Problem Solver ;Problem Solver & Problem Seeker
Q1 2026;UX;Concierge;2 años a 3 años;"Con todos, ya que cada uno de ellos es importante para seguir creciendo como colaborador y representante de la compañía; con ellos podré continuar colocando al usuario en el centro de la manera más transparente posible.";User Centric
Q1 2026;Finanzas;Compras y Admin;1 año a 2 años;#Error;Otro / No especificado
Q1 2026;Energy;;Más de 3 años;El valor con el que más me identifico es self-management, porque me gusta organizarme de manera autónoma, priorizando bien las tareas con claridad sobre los objetivos. Esto me permite enfocarme en lo que realmente genera impacto y avanzar de forma efectiva sin depender de instrucciones constantes.;Self Management
Q1 2026;Finanzas;FP&A;0 a 3 meses;Problem solver, porque me gustan los problemas para encontrar una solución que aporte valorar a los demás y me ayude a crecer personal y profesionalmente. Tambien, A Team Player, debido a que me gusta trabajar en equipo tanto con mi jefe de FP&A como con las personas de otras áreas.;Problem Solver & Problem Seeker
Q1 2026;Finanzas;Tesorería y Facturación;0 a 3 meses;Problem Solver, siempre tengo la necesidad de resolver problemas, necesito que las cosas pasen para sentirme tranquila. El área a la que pertenezco requiere siempre esa atención y esa solución a cada reto  ;Problem Solver & Problem Seeker
Q1 2026;UX;Service;0 a 3 meses;"Me identifico principalmente con el valor de servicio ya que en mi día a día busco asegurar que cada interacción sea clara, oportuna y aporte valor. Considero que entender la necesidad real del cliente y acompañarlo en la solución es clave para generar confianza y una buena experiencia.

Además, este enfoque también implica trabajar de la mano con diferentes áreas, hacer seguimiento constante y ser proactivo para resolver situaciones, siempre buscando el mejor resultado para el cliente.";User Centric
Q1 2026;UX;Retención;2 años a 3 años;"Me siento especialmente identificada con Customer Center porque en mi forma de trabajar siempre priorizo generar valor real para el cliente y ajustarme rápidamente a lo que el contexto exige.
Por otro lado, me identifico con Adaptability porque me siento cómoda trabajando en entornos cambiantes. Me ajusto con rapidez a nuevos procesos, herramientas o prioridades, manteniendo el foco en los resultados.";User Centric
Q1 2026;Finanzas;Tesorería y Facturación;2 años a 3 años;"Elijo Problem Solver porque mi motivación nace de entender el 'porqué' de los desafíos. Al enamorarme del problema, evito las soluciones superficiales; prefiero profundizar en la causa para diseñar respuestas creativas y sólidas. Disfruto el proceso de transformar un obstáculo en una oportunidad de mejora para Bia";Problem Solver & Problem Seeker
Q1 2026;Finanzas;Tesorería y Facturación;6 meses a 1 año;cultura de alto rendimiento, por que me identifico con cultura de alto rendimiento, porque priorizo resultados concretos con altos estándares de calidad, asegurando claridad y valor en cada entrega.;Otro / No especificado
Q1 2026;Energy;;1 año a 2 años;"Me identifico más con Problem Solver y Team Player.

En el día a día me gusta entender bien los retos que van saliendo, analizar distintas formas de abordarlos y trabajar hasta encontrar soluciones que sean claras, útiles y que realmente aporten valor. También me enfoco en que esas soluciones sean sostenibles y fáciles de usar para el equipo.

Al mismo tiempo, me siento muy alineada con Team Player, porque valoro mucho el trabajo en conjunto. Suelo compartir ideas, mantener buena comunicación y pensar siempre en cómo lo que hago se integra con el trabajo de los demás y contribuye a los objetivos del equipo.

";Problem Solver & Problem Seeker
Q1 2026;UX;Concierge;0 a 3 meses;"""Me identifico como un perfil User-Centric, enfocado en entender genuinamente las necesidades del usuario para transformarlas en soluciones de valor. Me apasiona el rol de problem solver: no veo los desafíos como obstáculos, sino como oportunidades estratégicas para innovar.""";User Centric
Q1 2026;UX;Concierge;0 a 3 meses;-User Centric: Debido a que el cliente siempre debe estar en el centro -Problem solver: Ya que me siento en las capacidades de resolver los problemas de los usuarios de manera rápida y eficiente;User Centric
Q1 2026;UX;Concierge;0 a 3 meses;Me identifico con Problem Solver, ya que disfruto encontrar soluciones a los retos del día a día y ver en cada problema una oportunidad de mejora o automatización que simplifique nuestra gestión.;Problem Solver & Problem Seeker
Q1 2026;UX;Concierge;4 meses a 6 meses;User Centric - Me mueve solucionarle al cliente, empoderarme de su necesidad y ayudarle a solventarla. El usuario es nuestro principal activo, hay que cuidarlos y tratarles con empatía y resolutividad. ;User Centric
Q1 2026;Finanzas;Contabilidad y Taxes;2 años a 3 años;Self management: teniendo objetivos claros y responsabilidades asignadas es mas fácil administrar el tiempo y ejecución de las mismas.;Self Management
Q1 2026;Operaciones;Técnicos;6 meses a 1 año;Innovación ;Otro / No especificado
Q1 2026;Growth;D2D;0 a 3 meses;Problem solver;Problem Solver & Problem Seeker
Q1 2026;Growth;D2D;0 a 3 meses;Problem Solver;Problem Solver & Problem Seeker
Q1 2026;Sales;Sales;0 a 3 meses;Adaptability;Adaptability
Q1 2026;Tech;Desarrollo;6 meses a 1 año;Autonomia, siento que con los objetivos claros me dan la autonomia para determinar como solucionar los problemas;Self Management
Q1 2026;Energy;;0 a 3 meses;Me identifico mucho con Problem Solver, porque me gusta entender los problemas a fondo, iterar soluciones y llevarlas a algo que realmente funcione y puede posteriormente escalar. Pero para que eso pase, creo que Self Managment es la clave. Me gusta trabajar con autonomía, priorizar de forma inteligente y asegurarme que lo que hago esté alineado con mis objetivos.;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Supply Chain;4 meses a 6 meses;Adaptabilidad ;Adaptability
Q1 2026;Finanzas;Compras y Admin;0 a 3 meses;AUTOGESTIÓN, por que siento que no me quedo con lo que me enseñan si no siempre trato de ir mas allá.;Self Management
Q1 2026;Finanzas;Contabilidad y Taxes;Más de 3 años;Problem Solver & Problem Seeker: Porque debo asegurarme de que tanto el equipo como yo no tengamos trabas en nuestros procesos, para poderlos culminar y dar cumplimiento a los tiempos con calidad.;Problem Solver & Problem Seeker
Q1 2026;Finanzas;Contabilidad y Taxes;1 año a 2 años;user center: para mi el servicio interno y externo es fundamental, la comunicación asertiva;User Centric
Q1 2026;New Business;;Más de 3 años;User Centric: Constantemente estoy pensando en qué puede estar sintiendo/pensando  el cliente con cada interacción que tiene con Bia;User Centric
Q1 2026;Finanzas;Contabilidad y Taxes;1 año a 2 años;Resolver problemas;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Customer Success;1 año a 2 años;"Adaptability; cambio de metas y objetivos que nos empujan a adaptarnos rapido";Adaptability
Q1 2026;Sales;Sales;0 a 3 meses;Trabajo en equipo , porque así hacemos crecer el sistema de ventas para todos ;A Team Player
Q1 2026;Finanzas;Contabilidad y Taxes;0 a 3 meses;*;Otro / No especificado
Q1 2026;Tech;QA;0 a 3 meses;trabajo en equipo y resolver problemas, son los 2 valores que mas necesito dentro de mi cargo;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Técnicos;2 años a 3 años;User center ;User Centric
Q1 2026;Tech;Desarrollo;6 meses a 1 año;"Me siento más identificada con el valor de self management, porque creo en la autonomía, la responsabilidad y la capacidad de tomar decisiones de forma consciente y proactiva. Me gusta organizar mi trabajo, priorizar tareas y mantener foco en los objetivos sin necesidad de supervisión constante.

Además, el self management me permite adaptarme rápidamente a los cambios, asumir ownership de lo que hago y buscar siempre mejorar mis procesos y resultados.";Self Management
Q1 2026;Operaciones;Customer Success;1 año a 2 años;All team player - self management;A Team Player
Q1 2026;Operaciones;Customer Success;1 año a 2 años;problem solver . mi gestión es brindar apoyo con productos y servicios adicionales ;Problem Solver & Problem Seeker
Q1 2026;AI, Automation & Data;AI & Automation;Más de 3 años;A TEAM PLAYER, USER CENTRIC, porque mi foco es hacer que toda la empresa y roles pueda adaptar AI, y además que la experiencia del usuario sea la mejor posible;User Centric
Q1 2026;Sales;Sales;6 meses a 1 año;Adaptabilidad, porque es la primera vez que estoy en un lugar que se mueve tan rápido y busca alcanzar los objetivos a través de diferentes estrategias. ;Adaptability
Q1 2026;Producto;Design;2 años a 3 años;Adaptabilidad. Siento que en un equipo como producto, todo avanza muy rápido y está en constante cambio, y he sabido adaptarme siempre a estos avances, velocidad y cambios en decisiones, prioridades, etc.;Adaptability
Q1 2026;Sales;Sales;0 a 3 meses;Adaptability  considero que en una startup es el valor que va en la sangre por los cambios constantes.;Adaptability
Q1 2026;Operaciones;Ingeniería;1 año a 2 años;De siempre querer mas, aprender y enseñar a gran escala ;Otro / No especificado
Q1 2026;Operaciones;Técnicos;6 meses a 1 año;aztem player ;A Team Player
Q1 2026;Tech;Desarrollo;Más de 3 años;Me siento más identificado con Problem Solver porque disfruto enfrentar retos complejos, encontrar la causa raíz de los problemas y convertir situaciones ambiguas o críticas en soluciones claras, accionables y sostenibles.;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Técnicos;4 meses a 6 meses;USER CENTER;User Centric
Q1 2026;UX;CX;6 meses a 1 año;Customer centric: estoy convencida de que la verdadera hoja de ruta de una empresa la dictan los usuarios. Creo que las oportunidades de mejora y las soluciones más innovadoras no nacen de discusiones internas aisladas, sino de escuchar activamente lo que sucede 'afuera'. Mi enfoque siempre está en transformar la voz del cliente en acciones concretas que generen valor real.;User Centric
Q1 2026;Tech;Desarrollo;Más de 3 años;Adaptability, todo el tiempo hay cambios por lo que toca estar adaptandose constantemente.;Adaptability
Q1 2026;Sales;Sales;4 meses a 6 meses;Team work y adaptability ;A Team Player
Q1 2026;Operaciones;Técnicos;2 años a 3 años;User Center ;User Centric
Q1 2026;AI, Automation & Data;AI & Automation;1 año a 2 años;User centric;User Centric
Q1 2026;Tech;Desarrollo;1 año a 2 años;"Claro, aquí tienes una respuesta enfocada en **adaptación** 👇

Me siento más identificado con el valor de la **adaptación**, porque en el entorno tecnológico es clave poder ajustarse rápidamente a los cambios. Constantemente surgen nuevas herramientas, retos y formas de trabajar, y considero que tengo la capacidad de aprender, ajustarme y responder de manera efectiva. Para mí, adaptarse no es solo reaccionar al cambio, sino aprovecharlo como una oportunidad para crecer y mejorar tanto a nivel personal como profesional.";Adaptability
Q1 2026;Tech;QA;1 año a 2 años;User Centric / por como aporto a mejorar la experencia del usuario en nuestros desarrollos y calidad de los entregables;User Centric
Q1 2026;Operaciones;Técnicos;4 meses a 6 meses;Adaptavility / estoy atento a los cambios en procedimientos y formas de solucionar en lo relacionado a mis labores, me interesó en aprender sobre los cambios en mi área para mantener mi conocimiento vigente;Adaptability
Q1 2026;Growth;Brand;1 año a 2 años;Problem solver. Todos los días hay problemas nuevos que resolver ;Problem Solver & Problem Seeker
Q1 2026;Sales;Sales;0 a 3 meses;Ver los problemas como oportunidades;Problem Solver & Problem Seeker
Q1 2026;Tech;Desarrollo;Más de 3 años;problem solver;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Técnicos;6 meses a 1 año;Problem resolver : por que resuelvo problemas encontrados en terreno dando claridad al cliente, y dejando satisfecho el servicio solicitado por el usuario;User Centric
Q1 2026;Sales;Sales;0 a 3 meses;Proactividad. Siempre me he considerado una persona muy proactiva y me gusto mucho que en la cultura Bia promueva el poder resolver cualquier problema a traves de la proactividad y el trabajo en equipo.;Otro / No especificado
Q1 2026;Growth;D2D;0 a 3 meses;"Problem solver
Soy una persona que cada problema lo transforma en una oportunidad";Problem Solver & Problem Seeker
Q1 2026;Operaciones;Ingeniería;6 meses a 1 año;User Centric, Problem Solver Adaptability y Team Player. El primero debido a que en todas mis tareas me pongo en la perspectiva del usuario para saber como mejorar su experiencia, el segundo es teniendo en cuenta las cosas que he podido resolver con mi trabajo e inocaciones realizadas, la tercera es esa capacidad de adaptación que he venido teniendo desde que llegue y la cuarta teniendo en cuenta como el equipo ha crecido en todo sentido. Lo anterior es resumiento todos mis aprendizajes y logros obtenidos en el marco de los valores que tenemos;User Centric
Q1 2026;Tech;Desarrollo;2 años a 3 años;Tener un valor de “user-centered” (centrado en el usuario) en una compañía es muy positivo porque cambia completamente la forma en que se toman decisiones. No se trata solo de vender, sino de resolver problemas reales del usuario.;User Centric
Q1 2026;Tech;Desarrollo;1 año a 2 años;adaptability;Adaptability
Q1 2026;Sales;Sales;0 a 3 meses;Resolver problemas ;Problem Solver & Problem Seeker
Q1 2026;AI, Automation & Data;AI & Automation;0 a 3 meses;Problem Solver, Siento que resolver problemas difíciles dando soluciones practicas es muy importante para dinamizar los tiempo de ejecucion en los proyectos.;Problem Solver & Problem Seeker
Q1 2026;AI, Automation & Data;Data;2 años a 3 años;Adaptability;Adaptability
Q1 2026;AI, Automation & Data;AI & Automation;2 años a 3 años;Problem solver;Problem Solver & Problem Seeker
Q1 2026;Energy;;1 año a 2 años;User Centric / por como aporto a mejorar la experencia del usuario en nuestros desarrollos y calidad de los entregables;User Centric
Q1 2026;Growth;Partnerships;1 año a 2 años;Adaptability, porque me adapto facilmente a los cambios y a lo que cada situación necesita, tanto en lo personal y en lo profesional;Adaptability
Q1 2026;Operaciones;Técnicos;2 años a 3 años;Problem Solver y Users Centric, siempre trato de buscar solución a las actividades y que el usuario tenga una excelente interacción como me gustaría que me la brindarán a mi ;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Admin;6 meses a 1 año;con el problem solver es clave para el area en la que trabajo y me gusta;Problem Solver & Problem Seeker
Q1 2026;Legal;;Más de 3 años;Self management. ;Self Management
Q1 2026;Legal;;4 meses a 6 meses;"adaptability
Team player ";Adaptability
Q1 2026;Legal;;4 meses a 6 meses;Adaptabylity: soy flexible y resiliente y me adapto con facilidad a los cambios ;Adaptability
Q1 2026;AI, Automation & Data;Data;2 años a 3 años;Me he identificado con adaptabilidad, team player y problem solver. Ya que a la hora es importante tener un equipo unido que este resolviendo problemas en este caso como en el area de growth, que es donde estan nuestros principales proyectos actualmente ;Adaptability
Q1 2026;Legal;;2 años a 3 años;Problem Solver, he aprendido a mirar los problemas como oportunidades para mejorar nuestro ciclo de trabajo en cuanto a procesos y dinámicas que pueden optimizarse, verlo desde esta óptica me ha permitido mejorar en la resolución de los diferentes desafíos que se nos presentan a diario;Problem Solver & Problem Seeker
Q1 2026;Legal;;0 a 3 meses;A Team Player, ya que  me apasiona la colaboración y sacar adelante proyectos junto con mis compañeros;A Team Player
Q1 2026;Tech;QA;6 meses a 1 año;Problem Solver, siento que en BIA estamos en cambios constantes y retos constantes y este valor representa mucho eso, el enfrentarnos todos los días a un problema nuevo, asumirlo y buscar la mejor forma de resolverlo no viéndolo como un problema o un stopper sino un reto desafiante para trabajar y resolver. ;Problem Solver & Problem Seeker
Q1 2026;Tech;QA;0 a 3 meses;Me identifico más con Problem Solver porque acá los retos nunca faltan… y eso es lo mejor, siempre hay algo que optimizar, construir o mejorar, y se tiene el espacio para hacerlo de verdad. Me gusta porque es un entorno donde resolver problemas no es una tarea más en mi día a día, sino que es parte del ADN y eso lo hace muy retador y emocionante;Problem Solver & Problem Seeker
Q1 2026;Operaciones;Customer Success;6 meses a 1 año;Considero que una parte esencial de la naturaleza de una startup es resolver problemas que otras compañías no están atendiendo. Esto implica identificar oportunidades, proponer soluciones innovadoras y mantener una mentalidad estructurada que permita analizar los retos, organizarlos y abordarlos de manera efectiva.;Problem Solver & Problem Seeker
Q1 2026;Legal;;1 año a 2 años;Con adaptability. Porque soy de las personas que no se quiebran con el cambio, se doblan y vuelven. En Bia, donde todo evoluciona todo el tiempo, ese rasgo no solo tiene sentido, sino que se convierte en un superpoder.;Adaptability
Q1 2026;Producto;Product Management;0 a 3 meses;Con todos, respiro el ADN Bia. Creo rotundamente que toda mi carrera profesional me trajo acá :);Otro / No especificado
Q1 2026;Company- Staff;;Más de 3 años;Problem Solver & Problem Seeker;Problem Solver & Problem Seeker
Q1 2026;People;People;6 meses a 1 año;User Centric porque siempre estoy atenta a las necesidades de los colaboradores y adaptability proque me adapto rápidamente a los cambios de Bia ;User Centric
Q1 2026;Operaciones;CGM;1 año a 2 años;Me identifico con Problem Solver porque creo que define bien cómo me muevo en el trabajo. Cuando aparece un reto, no me quedo quieto.;Problem Solver & Problem Seeker
